
12/30/2015,12 36 38 54 61 22,3
12/26/2015,27 40 44 59 65 20,2
12/23/2015,16 38 55 63 67 25,4
12/19/2015,28 30 41 59 68 10,2
12/16/2015,09 10 32 42 55 06,2
12/12/2015,02 14 19 30 62 22,2
12/09/2015,07 10 16 46 56 01,2
12/05/2015,13 27 33 47 68 13,2
12/02/2015,14 18 19 32 64 09,2
11/28/2015,02 06 47 66 67 02,3
11/25/2015,16 29 53 58 69 21,2
11/21/2015,37 47 50 52 57 21,3
11/18/2015,17 40 41 46 69 06,2
11/14/2015,14 22 37 45 66 05,3
11/11/2015,04 26 32 55 64 18,3
11/07/2015,07 16 25 50 53 15,2
11/04/2015,02 12 17 20 65 17,4
10/31/2015,09 20 25 47 68 07,2
10/28/2015,04 54 56 62 63 10,2
10/24/2015,20 31 56 60 64 02,3
10/21/2015,30 32 42 56 57 11,4
10/17/2015,48 49 57 62 69 19,3
10/14/2015,15 20 29 31 40 01,2
10/10/2015,12 27 29 43 68 01,2
10/07/2015,18 30 40 48 52 09,3
10/03/2015,06 26 33 44 46 04,2
09/30/2015,21 39 40 55 59 17,3
09/26/2015,23 31 42 50 57 05,3
09/23/2015,08 29 41 51 58 05,2
09/19/2015,12 17 26 43 48 24,2
09/16/2015,05 07 24 31 39 07,3
09/12/2015,02 03 13 16 35 27,3
09/09/2015,44 45 47 50 51 08,2
09/05/2015,10 16 18 29 45 19,2
09/02/2015,17 22 30 46 56 16,3
08/29/2015,18 21 25 28 29 16,2
08/26/2015,02 22 32 45 56 12,5
08/22/2015,04 12 14 21 55 07,4
08/19/2015,06 08 43 48 50 07,2
08/15/2015,03 13 17 42 52 24,4
08/12/2015,08 13 29 38 52 28,2
08/08/2015,09 34 48 52 54 15,4
08/05/2015,09 11 14 16 42 19,2
08/01/2015,07 13 24 49 57 15,3
07/29/2015,04 22 27 28 52 35,3
07/25/2015,27 29 34 41 44 02,3
07/22/2015,12 31 43 44 57 11,2
07/18/2015,06 37 39 45 55 33,3
07/15/2015,13 16 34 45 50 11,2
07/11/2015,11 39 46 52 54 03,2
07/08/2015,04 15 25 27 30 18,3
07/04/2015,03 06 14 18 24 21,3
07/01/2015,07 24 26 31 41 25,2
06/27/2015,18 28 35 46 49 27,5
06/24/2015,03 05 10 22 32 07,4
06/20/2015,09 10 16 20 57 15,2
06/17/2015,20 21 22 41 54 07,3
06/13/2015,29 41 48 52 54 29,2
06/10/2015,31 32 48 49 53 25,2
